visit_rank,club_name,club_number,city,country,verified_schedule_local,montreal_time,next_meeting,meets_this_week,online_guest,join_link,how_to_get_link,rsvp_required,contact,physical_address,caveats,source_verified
1,Karlsruhe Toastmasters Club,00817718,Karlsruhe,Germany,"1st/3rd/5th Mon 19:15-21:00 CEST, alternating virtual/onsite",Mon 13:15-15:00 ET,"Mon 2026-09-07 (VIRTUAL, theme ""New beginnings""); then Mon 09-21 onsite",yes (today),"yes, guests welcome, just watch",https://zoom.us/j/85431099503 (password 052224),Published on club schedule page https://toastmasters-ka-english-club.jimdofree.com/meeting-schedule/,no,John Bow VP Membership +49 175 558 0655; FB https://www.facebook.com/toastmasters.karlsruhe,n/a (virtual week),Do not confuse with Karlsruher Redeclub e.V. #01022848 (German). toastmasters.org says 19:30 (stale).,club site + easy-speak agenda t=254085
2,Club Toastmasters Montreal,9361,Montreal QC,Canada,"Every Tue 06:55-08:30 ET, Sep-Jun, ALTERNATES Zoom / in-person weekly",Tue 06:55-08:30 ET,Tue 2026-09-08 (format unknown - Zoom or in-person),yes,yes on Zoom weeks,https://us02web.zoom.us/j/4130494668,Published on club site; guest form (2 free trials) https://docs.google.com/forms/d/e/1FAIpQLSfkn-AJAzmPv3UcFXAnfzTXRFTECq_h_MS64YTcDVw0a5J-7g/viewform,form presented as the way to attend,info@clubtoastmastersmontreal.org (48h),"1210 rue Sherbrooke Est, sous-sol, H2L 1L9",French. Which Tuesdays are Zoom is not published - ask or just try the link.,club site
3,Women L.E.A.D. Toastmasters Club,07854613,San Jose / Santa Clara CA,USA,Every Wed 19:00-20:10 PT,Wed 22:00-23:10 ET,Wed 2026-09-09,yes,"yes, self-serve Zoom registration",https://nvidia.zoom.us/meeting/register/tJYtcOyrqDwpHdcIyRBA7sKfwBMP8Iar3agi,Zoom registration on https://womenleadtm.org/ ; Eventbrite https://www.eventbrite.com/e/women-lead-toastmasters-tickets-1083804090209,register via Zoom form,womenleadtm@gmail.com,online (Santa Clara address nominal),CONFIRMED USER - follow-up visit. Registration page rendered no details without JS; email as backup.,club site + toastmasters.org + Eventbrite
4,In Camera Online Toastmasters,07833451,Pan-EU online,Germany,Every Fri 07:30-08:30 Europe/Berlin (CEST),Fri 01:30-02:30 ET,Fri 2026-09-11,yes,"yes, ""be our guest without obligation""; join 15 min early","http://bit.ly/InCameraOnline (ID 864 3029 4427, passcode 206362)",Published on easy-speak agenda https://district59.eu/view_agenda.php?t=257211,no (optional email),info@incameraonline.com ; https://incameraonline.com/contact-us/,online only,"01:30 ET start. English, business-focused.",club site + toastmasters.org + easy-speak
5,Words On Wings (WOW),835,Montreal QC,Canada,"Every Fri 12:15-13:15 ET, Zoom",Fri 12:15-13:15 ET,Fri 2026-09-11,yes,yes; log in 5-10 min early,not published,Email wow835membership@gmail.com for the Zoom link (also kithangleung@gmail.com),yes (email to get link),wow835membership@gmail.com,ICAO HQ 999 Robert-Bourassa (nominal; meets online),Club site unreachable from research tools; verify at https://www.toastmasters.org/Find-a-Club/00000835,toastmasters.org + snippets
6,T.G.I.F. Club,4679,Overland Park KS,USA,"2nd & 4th Fri 07:00 CT, hybrid",Fri 08:00 ET,Fri 2026-09-11,yes,"yes, online attendance allowed; guests free",not published,Email officers@tgiftoastmasters.com for the virtual link; or toastmasters.org Contact Club form,yes (email to get link),officers@tgiftoastmasters.com ; vpm@tgiftoastmasters.com,"9001 W 110th St, Overland Park KS",Club site unreachable from research tools (snippet-based). Most ET-friendly US slot.,toastmasters.org + snippets
7,Les Orateurs Distingues,8658,Saint-Hubert QC,Canada,"Every Sat 08:30-10:30 ET, hybrid (in person + Zoom)",Sat 08:30-10:30 ET,Sat 2026-09-12,yes,possible; request Zoom via discovery form,not published,Free discovery-visit booking form https://tmlod.com/seance-decouverte/,"yes (form, date required)",membreslod@gmail.com,"2000 rue Regent, Longueuil (St-Hubert), salle Wilson/Talbot, sous-sol, entrance rue Mackay","French. Homepage says in-person only, discovery page says hybrid. Closest club to home - in-person visit is the easy option.",club site
8,ELIO Toastmasters Club,7864607,St Pierre,Mauritius,"2nd & 4th Sat 14:00-16:00 MUT, hybrid, EN/FR",Sat 06:00-08:00 ET,Sat 2026-09-12,yes,"yes, online attendance allowed",not published,Contact Club form https://www.toastmasters.org/Find-a-Club/07864607-elio-toastmasters-club ; FB https://www.facebook.com/ToastmastersClubofELIO/ ; IG @elio_toastmasters_club,yes (must obtain link),elio.theclub@gmail.com ; +230 5755 3091,"The Pod, Vivea Business Park, St Pierre",Only Mauritius club meeting this week. 06:00 ET Saturday.,toastmasters.org
9,Hawaii Comedy Club Toastmasters,07841602,Honolulu HI,USA,"2nd & 4th Fri 18:00-19:00 HST, Zoom only",Sat 00:00-01:00 ET (Fri midnight),Fri 2026-09-11 (= Sat 09-12 00:00 ET),yes,"yes, Zoom only, no restriction",not published,Contact form on https://7841602.toastmastersclubs.org/ or toastmasters.org Contact Club form,yes (must obtain link),+1 808-495-1543,online only,Midnight ET. Club site content unverified.,toastmasters.org
10,Vliegende Hollanders Online Advanced,28678604,Online,Netherlands,"2nd & 4th Sun 19:30-21:00 CEST, Zoom (NOT weekly as hinted)",Sun 13:30-15:00 ET,Sun 2026-09-13,yes,"yes, ""kom vrijblijvend kijken""",not published,Contact form on https://toastmasters.nl/clubs/vliegende-hollanders sends the Zoom link for the chosen Sunday,yes (form to get link),form only; no public email,online only,MEETING LANGUAGE IS DUTCH. Advanced club. easy-speak agenda https://district59.eu/view_agenda.php?t=256243,easy-speak + toastmasters.nl
11,Moderator Club / Club Moderateur,3200,Montreal QC,Canada,Every Tue 18:30-20:30 ET,Tue 18:30-20:30 ET,Tue 2026-09-08,yes (in person only),"NO - site: MS Teams link broken, online temporarily unavailable",none (online down),Visit form https://moderatorclub.org/visit-a-meeting/ ; walk-in guests welcome any Tuesday,form recommended,info@moderatorclub.org ; on-site 514-830-1945,"8th floor, 1002 Sherbrooke W (Metcalfe entrance), near Peel metro",STRONGEST PITCH: their online is broken. Go in person with a laptop.,club site
12,Golden Mile Toastmasters,9886,Montreal QC,Canada,"Every Wed 19:00-21:00 ET, alternates Zoom / in-person weekly",Wed 19:00-21:00 ET,"Wed 2026-09-09 (likely IN-PERSON; Zoom weeks appear to be 09-16, 09-30)",yes (probably in person),"yes on Zoom weeks, by email",not published,Email goldenmiletm@gmail.com to reserve / get link; arrive 18:45,yes (email),goldenmiletm@gmail.com ; Meetup https://www.meetup.com/toastmasters-international-montreal-area/events/316107003/,"Salle du Monastere, 5th floor, 4450 rue Saint-Hubert, H2J 2W9",Zoom/in-person week not confirmed for 09-09. Club site unreachable.,toastmasters.org + Meetup
